gtk-update-icon-cache 3.24.1+2+ged57e564a9-1
gtk-vnc 0.9.0-1
gtk-xfce-engine 2.10.1-2
gtk2 2.24.32-1
gtk3 3.24.1+2+ged57e564a9-1
gtkimageview 1.6.4-5
gtkmm 2.24.5-2
gtkmm3 3.22.2+2+g3002ed86-1
gtkspell 2.0.16-7
guile 2.2.4-1
gvfs 1.38.1-1
gzip 1.9-1
hardinfo 0.5.1-8
harfbuzz 1.9.0-1
harfbuzz-icu 1.9.0-1
haskell-aeson 1.4.1.0-2
haskell-aeson-pretty 0.8.7-37
haskell-ansi-terminal 0.8.1-1
haskell-asn1-encoding 0.9.5-68
haskell-asn1-parse 0.9.4-79
haskell-asn1-types 0.3.2-75
haskell-async 2.2.1-2
haskell-attoparsec 0.13.2.2-28
haskell-base-compat 0.10.4-1
haskell-base64-bytestring 1.0.0.1-12
haskell-basement 0.0.8-1
haskell-blaze-builder 0.4.1.0-3
haskell-blaze-html 0.9.1.1-7
haskell-blaze-markup 0.8.2.2-1
haskell-byteable 0.1.1-9
haskell-case-insensitive 1.2.0.11-3
haskell-cereal 0.5.7.0-1
haskell-cmark-gfm 0.1.5-1
haskell-cmdargs 0.10.20-3
haskell-colour 2.3.4-11
haskell-conduit 1.3.0.3-38
haskell-connection 0.2.8-97
haskell-cookie 0.4.4-3
haskell-cryptonite 0.25-21
haskell-data-default 0.7.1.1-15
haskell-data-default-class 0.1.2.0-8
haskell-data-default-instances-containers 0.0.1-20
haskell-data-default-instances-dlist 0.0.1-28
haskell-data-default-instances-old-locale 0.0.1-20
haskell-digest 0.0.1.2-9
haskell-dlist 0.8.0.5-1
haskell-doctemplates 0.2.2.1-42
haskell-exceptions 0.10.0-6
haskell-foundation 0.0.21-9
haskell-glob 0.9.3-1
haskell-haddock-library 1.6.0-16
haskell-hashable 1.2.7.0-3
haskell-hourglass 0.2.12-3
haskell-hslua 1.0.0-1
haskell-hslua-module-text 0.2.0-1
haskell-hsyaml 0.1.1.2-2
haskell-http 4000.3.12-66
haskell-http-client 0.5.13.1-20
haskell-http-client-tls 0.3.5.3-76
haskell-http-types 0.12.2-2
haskell-hxt 9.3.1.16-11
haskell-hxt-charproperties 9.2.0.1-7
haskell-hxt-regex-xmlschema 9.2.0.3-11
haskell-hxt-unicode 9.0.2.4-7
haskell-integer-logarithms 1.0.2.2-1
haskell-juicypixels 3.3.2-1
haskell-lexer 1.0.2-1
haskell-math-functions 0.3.0.2-1
haskell-memory 0.14.18-1
haskell-mime-types 0.1.0.8-1
haskell-mono-traversable 1.0.9.0-13
haskell-mwc-random 0.14.0.0-3
haskell-network 2.7.0.2-9
haskell-network-uri 2.6.1.0-13
haskell-old-locale 1.0.0.7-14
haskell-old-time 1.1.0.3-14
haskell-pandoc-types 1.17.5.1-22
haskell-pem 0.2.4-27
haskell-pretty-show 1.8.2-2
haskell-primitive 0.6.4.0-1
haskell-quickcheck 2.11.3-4
haskell-random 1.1-12
haskell-regex-base 0.93.2-33
haskell-regex-pcre 0.94.4-9
haskell-resourcet 1.2.1-21
haskell-safe 0.3.17-2
haskell-scientific 0.3.6.2-7
haskell-sha 1.6.4.4-3
haskell-skylighting 0.7.3-11
haskell-skylighting-core 0.7.3-11
haskell-socks 0.5.6-35
haskell-split 0.2.3.3-5
haskell-streaming-commons 0.2.1.0-7
haskell-syb 0.7-6
haskell-tagged 0.8.6-1
haskell-tagsoup 0.14.7-1
haskell-temporary 1.3-10
haskell-texmath 0.11.1.1-1
haskell-tf-random 0.5-19
haskell-th-abstraction 0.2.8.0-1
haskell-time-locale-compat 0.1.1.5-1
haskell-tls 1.4.1-42
haskell-transformers-compat 0.6.2-2
haskell-unliftio-core 0.1.2.0-1
haskell-unordered-containers 0.2.9.0-11
haskell-utf8-string 1.0.1.1-8
haskell-uuid-types 1.0.3-15
haskell-vector 0.12.0.1-10
haskell-vector-algorithms 0.8.0.0-1
haskell-vector-th-unbox 0.2.1.6-12
haskell-x509 1.7.4-4
haskell-x509-store 1.6.6-32
haskell-x509-system 1.6.6-61
haskell-x509-validation 1.6.10-32
haskell-xml 1.3.14-14
haskell-yaml 0.10.2.0-6
haskell-zip-archive 0.3.3-6
haskell-zlib 0.6.2-3
hdf5 1.10.3-2
hicolor-icon-theme 0.17-1
hplip 1:3.18.6-1
hspell 1.4-1
htmldoc 1.9.3-1
http-parser 2.8.1-1
hunspell 1.6.2-1
hunspell-en_AU 2018.04.16-5
hunspell-en_CA 2018.04.16-5
hunspell-en_GB 2018.04.16-5
hunspell-en_US 2018.04.16-5
hwdetect 2016.01-2
hwids 20180518-1
hyphen 2.8.8-2
i3-wm 4.15-1
i3blocks 1.4-6
i3ipc-python-git r210.1537908508.b3cd001-1
i3lock 2.10-1
i3status 2.12-1
iana-etc 20180221-1
icu 62.1-1
idnkit 1.0-4
iio-sensor-proxy 2.4-4
ijs 0.35-1
ilmbase 2.3.0-1
imagemagick 7.0.8.12-1
imlib2 1.5.1-1
inetutils 1.9.4-5
inkscape 0.92.3-4
intel-tbb 2019-1
intel-ucode 20180807.a-1
iproute2 4.18.0-1
iptables 1:1.6.2-3
iputils 20180629.f6aac8d-2
iso-codes 3.79-1
iw 4.14-1
jack 0.125.0-5
jansson 2.11-1
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.14-1
jdk10-openjdk 10.0.2.u13-1
jemalloc 1:5.1.0-1
jfsutils 1.1.15-6
jmtpfs 0.5-2
jq 1.5-6
jre10-openjdk 10.0.2.u13-1
jre10-openjdk-headless 10.0.2.u13-1
js52 52.9.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
kbd 2.0.4-1
keyutils 1.5.11-1
kismet 2016_07_R1-1
kmod 25-1
krb5 1.16.1-1
kyotocabinet 1.2.76-6
l-smash 2.14.5-1
ladspa 1.13-7
lame 3.100-2
lapack 3.8.0-2
lcms 1.19-7
lcms2 2.9-1
ldns 1.7.0-4
lensfun 0.3.2-7
less 530-1
leveldb 1.20-1
libabw 0.1.2-1
libaec 1.0.2-1
libaio 0.3.111-1
libao 1.2.2-2
libarchive 3.3.3-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-4
libatomic_ops 7.6.6-1
libavc1394 0.5.4-3
libblockdev 2.20-1
libbluray 1.0.2-2
libbs2b 3.1.0-6
libbsd 0.9.1-1
libbytesize 1.4-1
libcaca 0.99.beta19-1
libcacard 2.6.1-1
libcanberra 0.30+2+gc0620e4-1
libcanberra-gstreamer 0.30+2+gc0620e4-1
libcanberra-pulse 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.0.0-1
libcdio-paranoia 10.2+0.94+2-2
libcdr 0.1.4-4
libcmis 0.5.1-10
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.8-3
libcurl-compat 7.61.1-1
libcurl-gnutls 7.61.1-1
libdaemon 0.14-4
libdatrie 0.2.12-1
libdc1394 2.2.5-1
libdca 0.0.6-1
libde265 1.0.3-1
libdmx 1.1.4-1
libdrm 2.4.94-1
libdv 1.0.0-7
libdvdnav 6.0.0-1
libdvdread 6.0.0-1
libe-book 0.1.3-3
libedit 20180525_3.1-1
libelf 0.174-1
libepoxy 1.5.2-1
libepubgen 0.1.1-1
libetonyek 0.1.8-1
libev 4.24-1
libevdev 1.5.9-1
libevent 2.1.8-1
libexif 0.6.21-3
libexttextcat 3.4.5-1
libfann 2.2.0.d71d54788-5
libfbclient 2.5.8.27089-2
libfdk-aac 0.1.6-1
libffi 3.2.1-2
libfontenc 1.1.3-2
libfprint 0.8.2-1
libfreehand 0.1.2-1
libgcrypt 1.8.3-1
libgee 0.20.1-2
libgexiv2 0.10.8-2
libglade 2.6.4-6
libglvnd 1.1.0-1
libgme 0.6.2-1
libgnome-keyring 3.12.0-3
libgpg-error 1.32-1
libgphoto2 2.5.19-1
libgudev 232-1
libgusb 0.3.0-1
libheif 1.3.2-1
libibus 1.5.19-1
libical 3.0.4-1
libice 1.0.9-2
libid3tag 0.15.1b-9
libidn 1.35-1
libidn2 2.0.5-1
libiec61883 1.2.0-5
libieee1284 0.2.11-7
libinput 1.12.0-2
libinput-gestures 2.38-1
libiodbc 3.52.12-2
libixion 0.13.0-4
libjpeg-turbo 2.0.0-1
libkeybinder3 0.3.2-1
libksba 1.3.5-1
liblangtag 0.6.2-1
libldap 2.4.46-2
liblouis 3.7.0-1
liblqr 0.4.2-2
libmagick 7.0.8.12-1
libmagick6 6.9.10.12-1
libmariadbclient 10.1.36-1
libmikmod 3.3.11.1-1
libmm-glib 1.8.2-1
libmms 0.6.4-2
libmng 2.0.3-2
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmp4v2 2.0.0-5
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-6
libmspub 0.1.4-3
libmtp 1.1.15-1
libmwaw 0.3.14-1
libmypaint 1.3.0-6
libndp 1.7-1
libnet 1.1.6-3
libnewt 0.52.20-2
libnfs 3.0.0-2
libnftnl 1.1.1-1
libnghttp2 1.33.0-1
libnice 0.1.14+70+gfb2f1f7-1
libnids 1.24-4
libnl 3.4.0-1
libnm 1.14.1dev+13+g0d3234478-1
libnm-glib 1.14.1dev+13+g0d3234478-1
libnm-gtk 1.8.18-2
libnma 1.8.18-2
libnotify 0.7.7-1
libnsl 1.2.0-1
libnumbertext 1.0-1
libodfgen 0.1.7-1
libofa 0.9.3-7
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
liborcus 0.13.4-4
libosinfo 1.2.0-1
libpagemaker 0.0.4-1
libpaper 1.1.24-10
libpcap 1.9.0-1
libpciaccess 0.14-1
libpgm 5.2.122-3
libpipeline 1.5.0-1
libpng 1.6.35-1
libproxy 0.4.15-8
libpsl 0.20.2-1
libpulse 12.2-2
libqtxdg 3.2.0-4
libqxp 0.0.1-3
libraqm 0.5.0-1
libraw 0.19.0-1
libraw1394 2.1.2-1
libreoffice-fresh 6.1.1-3
librevenge 0.0.4-2
librsvg 2:2.44.6-1
libsamplerate 0.1.9-1
libsasl 2.1.26-13
libseccomp 2.3.3-1
libsecret 0.18.6-1
libshout 1:2.4.1-3
libsidplay 1.36.59-8
libsigc++ 2.10.0-1
libsm 1.2.2-3
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.64.1-1
libsoxr 0.1.3-1
libspiro 1:0.5.20150702-2
libsrtp 1:2.2.0-1
libssh 0.8.3-1
libssh2 1.8.0-2
libstaroffice 0.0.6-1
libsystemd 239.2-1
libtasn1 4.13-1
libteam 1.27-2
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.9-2
libtirpc 1.1.4-1
libtommath 1.0.1-1
libtool 2.4.6+42+gb88cebd5-2
libunicodenames 1.2.2-1
libunistring 0.9.10-1
libunwind 1.2.1-1
liburcu 0.10.1-1
libusb 1.0.22-1
libutempter 1.1.6-3
libutil-linux 2.32.1-2
libuv 1.23.1-1
libva 2.3.0-1
libvdpau 1.1.1+3+ga21bf7a-1
libvirt 4.7.0-1
libvirt-glib 1.0.0-1
libvirt-python2 4.6.0-1
libvisio 0.1.6-4
libvisual 0.4.0-7
libvoikko 4.1.1-2
libvorbis 1.3.6-1
libvpx 1.7.0-1
libwacom 0.31-1
libwebp 1.0.0-1
libwmf 0.2.8.4-14
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.10-1
libx11 1.6.6-1
libxau 1.0.8-3
libxaw 1.0.13-2
libxcb 1.13-1
libxcomposite 0.4.4-3
